tier	candidate	candidate_ensembl	candidate_mgi	candidate_name	mito_rxn	mito_subsystem	mito_rxn_description	mito_ec	mito_gpr_state	mito_gpr_genes	evidence	n_shared_genes	shared_genes	paralogue_of	already_elsewhere_in_model	mouse1_rxns	n_mouse1_rxns	mouse1_compartments	mouse1_subsystems	candidate_promiscuity	candidate_context
A	Ak5	ENSMUSG00000039058	MGI:2677491	adenylate kinase 5	ADK1	Cytosolic misc	ATP + AMP --> 2 ADP	2.7.4.3	genes	Ak1	bigg,kegg,struct	1	Ak1	Ak1	True	MAR04002	1	c	Purine metabolism	6	isozyme
A	Ak6	ENSMUSG00000078941	MGI:5510732	adenylate kinase 6	ADK1	Cytosolic misc	ATP + AMP --> 2 ADP	2.7.4.3	genes	Ak1	bigg,kegg,struct	1	Ak1	Ak1	False	MAR04002	1	c	Purine metabolism	3	isozyme
A	Ak7	ENSMUSG00000041323	MGI:1926051	adenylate kinase 7	ADK1	Cytosolic misc	ATP + AMP --> 2 ADP	2.7.4.3	genes	Ak1	bigg,kegg,struct	1	Ak1	Ak1	True	MAR04002	1	c	Purine metabolism	3	isozyme
A	Ak8	ENSMUSG00000026807	MGI:1916120	adenylate kinase 8	ADK1	Cytosolic misc	ATP + AMP --> 2 ADP	2.7.4.3	genes	Ak1	bigg,kegg,struct	1	Ak1	Ak1	True	MAR04002	1	c	Purine metabolism	3	isozyme
A	Ak9	ENSMUSG00000091415	MGI:2685080	adenylate kinase 9	ADK1	Cytosolic misc	ATP + AMP --> 2 ADP	2.7.4.3	genes	Ak1	bigg,kegg,struct	1	Ak1	Ak1	True	MAR04002	1	c	Purine metabolism	11	isozyme
A	Taf9	ENSMUSG00000052293	MGI:1888697	TATA-box binding protein associated factor 9	ADK1	Cytosolic misc	ATP + AMP --> 2 ADP	2.7.4.3	genes	Ak1	bigg,kegg,struct	1	Ak1		False	MAR04002	1	c	Purine metabolism	2	isozyme
A	Rwdd2a	ENSMUSG00000032417	MGI:1916769	RWD domain containing 2A	ME2	Cytosolic misc	(S)-Malate + NADP+ --> Pyruvate + CO2 + NADPH + H+	1.1.1.40	genes	Me1,Tcf12	bigg,kegg,struct	1	Me1		False	MAR04089	1	c	Pyruvate metabolism	1	isozyme
A	Nme1	ENSMUSG00000037601	MGI:97355	NME/NM23 nucleoside diphosphate kinase 1	NDPK1	Cytosolic misc	ATP + GDP --> ADP + GTP	2.7.4.6	genes	Ak1,Ak4,Ak5,Ak7,Ak8,Ak9,Cmpk1,Nme1nme2,Nme3,Nme6,Nme7	bigg,kegg,struct	3	Nme3,Nme6,Nme7	Nme1nme2,Nme3,Nme6,Nme7	False	MAR04016	1	c	Purine metabolism	36	isozyme
A	Nme2	ENSMUSG00000020857	MGI:97356	NME/NM23 nucleoside diphosphate kinase 2	NDPK1	Cytosolic misc	ATP + GDP --> ADP + GTP	2.7.4.6	genes	Ak1,Ak4,Ak5,Ak7,Ak8,Ak9,Cmpk1,Nme1nme2,Nme3,Nme6,Nme7	bigg,kegg,struct	3	Nme3,Nme6,Nme7	Nme1nme2,Nme3,Nme6,Nme7	False	MAR04016	1	c	Purine metabolism	36	isozyme
A	Nme4	ENSMUSG00000024177	MGI:1931148	NME/NM23 nucleoside diphosphate kinase 4	NDPK1	Cytosolic misc	ATP + GDP --> ADP + GTP	2.7.4.6	genes	Ak1,Ak4,Ak5,Ak7,Ak8,Ak9,Cmpk1,Nme1nme2,Nme3,Nme6,Nme7	bigg,kegg,struct	3	Nme3,Nme6,Nme7	Nme1nme2,Nme3,Nme6,Nme7	True	MAR04016	1	c	Purine metabolism	26	isozyme
